E1_1,E1_2,E1_3,E2_1,E2_2,E2_3,E3_1,E3_2,E3_3,A1_1,A1_2,A1_3,A2_1,A2_2,A2_3,A3_1,A3_2,A3_3,C1_1,C1_2,C1_3,C2_1,C2_2,C2_3,C3_1,C3_2,C3_3,N1_1,N1_2,N1_3,N2_1,N2_2,N2_3,N3_1,N3_2,N3_3,O1_1,O1_2,O1_3,O2_1,O2_2,O2_3,O3_1,O3_2,O3_3,PID,day
,2.0,4.0,,2.0,4.0,1.0,,5.0,4.0,4.0,,,5.0,1.0,,2.0,2.0,3.0,3.0,,4.0,2.0,,4.0,4.0,,4.0,,4.0,5.0,2.0,,2.0,4.0,,,4.0,2.0,4.0,4.0,,2.0,4.0,,7,5.403766666666667
,4.0,2.0,2.0,2.0,,2.0,,2.0,,4.0,4.0,5.0,,2.0,,2.0,4.0,4.0,,2.0,1.0,1.0,,3.0,,4.0,5.0,1.0,,5.0,2.0,,2.0,4.0,,4.0,2.0,,4.0,4.0,,4.0,,4.0,7,6.003855555555556
4.0,4.0,,,2.0,4.0,3.0,4.0,,,2.0,2.0,4.0,4.0,,4.0,,2.0,,2.0,2.0,,4.0,4.0,4.0,,2.0,,1.0,3.0,4.0,,5.0,,4.0,4.0,,2.0,2.0,3.0,,4.0,2.0,,4.0,7,6.078711111111111
4.0,,2.0,4.0,,1.0,5.0,4.0,,4.0,,2.0,4.0,4.0,,5.0,4.0,,4.0,,1.0,,4.0,1.0,,1.0,1.0,1.0,,5.0,1.0,,1.0,5.0,,1.0,,2.0,4.0,5.0,,5.0,1.0,5.0,,7,6.1595
4.0,4.0,,2.0,,4.0,,1.0,4.0,4.0,4.0,,2.0,,4.0,3.0,,5.0,4.0,,2.0,,1.0,4.0,4.0,,4.0,,2.0,4.0,,2.0,4.0,,2.0,4.0,4.0,2.0,,,4.0,4.0,4.0,2.0,,7,6.2413
4.0,4.0,,4.0,,4.0,,2.0,4.0,4.0,2.0,,4.0,4.0,,4.0,,5.0,,4.0,4.0,,1.0,4.0,,2.0,4.0,,2.0,3.0,,2.0,4.0,,2.0,5.0,4.0,,4.0,3.0,,3.0,3.0,,3.0,7,6.320222222222222
2.0,,4.0,,2.0,4.0,,4.0,4.0,4.0,4.0,,4.0,4.0,,4.0,,2.0,4.0,,2.0,4.0,,2.0,4.0,2.0,,,4.0,4.0,3.0,,4.0,4.0,4.0,,4.0,2.0,,4.0,4.0,,,4.0,4.0,7,6.3985
,4.0,2.0,4.0,,3.0,1.0,2.0,,4.0,,2.0,,4.0,2.0,4.0,4.0,,5.0,4.0,,2.0,,5.0,4.0,,4.0,3.0,,3.0,,2.0,4.0,2.0,4.0,,,4.0,4.0,,2.0,4.0,,2.0,2.0,7,7.000155555555556
2.0,1.0,,3.0,,2.0,4.0,5.0,,3.0,,2.0,4.0,,2.0,,2.0,2.0,,2.0,2.0,5.0,,2.0,,4.0,4.0,2.0,,4.0,3.0,,3.0,,4.0,2.0,5.0,2.0,,4.0,,4.0,2.0,,5.0,7,7.078733333333333
2.0,4.0,,4.0,,3.0,,2.0,3.0,4.0,2.0,,,4.0,1.0,5.0,,2.0,4.0,,2.0,5.0,,2.0,4.0,1.0,,2.0,,4.0,,4.0,3.0,4.0,4.0,,5.0,2.0,,4.0,5.0,,1.0,4.0,,7,7.159744444444445
4.0,2.0,,,3.0,4.0,2.0,,3.0,4.0,,2.0,4.0,,2.0,4.0,,2.0,,2.0,2.0,1.0,,4.0,4.0,,4.0,4.0,,4.0,2.0,3.0,,,4.0,2.0,4.0,,4.0,4.0,4.0,,2.0,4.0,,7,7.240377777777778
4.0,4.0,,,4.0,2.0,3.0,,3.0,,4.0,2.0,4.0,,2.0,,2.0,4.0,,4.0,2.0,3.0,,4.0,4.0,2.0,,4.0,,4.0,,2.0,4.0,4.0,,2.0,,3.0,3.0,,4.0,4.0,2.0,,4.0,7,7.3699666666666666
2.0,,4.0,2.0,2.0,,4.0,4.0,,,2.0,2.0,4.0,,2.0,4.0,2.0,,,2.0,2.0,5.0,,2.0,4.0,2.0,,3.0,3.0,,,4.0,3.0,4.0,,2.0,4.0,,4.0,4.0,,4.0,,2.0,4.0,7,7.399411111111111
2.0,,4.0,2.0,,2.0,1.0,2.0,,,2.0,2.0,,4.0,2.0,4.0,,2.0,,2.0,2.0,2.0,2.0,,,4.0,4.0,2.0,,4.0,,2.0,4.0,,4.0,4.0,,4.0,2.0,4.0,4.0,,4.0,,2.0,7,8.0026
4.0,2.0,,4.0,4.0,,2.0,2.0,,3.0,,4.0,,4.0,2.0,2.0,,4.0,,2.0,2.0,,3.0,4.0,,4.0,4.0,2.0,,4.0,4.0,,4.0,3.0,3.0,,,4.0,3.0,2.0,2.0,,2.0,3.0,,7,8.085444444444445
,5.0,2.0,4.0,,2.0,4.0,,2.0,,2.0,2.0,4.0,4.0,,4.0,,4.0,4.0,,2.0,,2.0,4.0,4.0,,4.0,,2.0,4.0,,3.0,2.0,4.0,4.0,,,4.0,3.0,4.0,,4.0,4.0,3.0,,7,8.256822222222223
